specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm
5321125376239622144,0.5791641,254.9922,236.002757128165,28.541853163616,25.27964,22.07893,20.53693,19.54658,20.53693,boss,4726,445,55712,--,--,21.354900360107422,,,,,,
5321125925995436032,0.5375847,246.4698,236.089921071558,28.4491277489743,24.03082,21.55776,19.95752,18.92594,19.95752,boss,4726,447,55712,22.03730010986328,20.98040008544922,20.099899291992188,,,,,,
5321119054047762432,0.3830165,210.6806,236.257012209356,28.592191382242,22.96004,21.23834,19.48603,18.80465,19.48603,boss,4726,422,55712,21.927400588989258,20.32270050048828,19.648399353027344,,,,,,
5321128674774505472,0.6708088,254.8347,236.269486971089,28.5212084562399,22.77841,22.63735,20.93948,19.81192,20.93948,boss,4726,457,55712,--,21.671600341796875,20.751800537109375,,,,,,
5321128125018691584,0.4877225,167.3607,236.266465624233,28.3940779535668,21.52713,20.32977,19.14529,18.41864,19.14529,boss,4726,455,55712,22.14539909362793,20.75200080871582,20.158000946044922,,,,,,
5321128399896598528,0.3768982,227.4829,236.333841055588,28.364831762857,22.97548,21.48598,19.60124,18.93903,19.60124,boss,4726,456,55712,--,--,--,,,,,,
5321114930879158272,0.477254,247.5566,236.389281115588,28.397015921425,24.33793,22.06735,20.40681,19.5456,20.40681,boss,4726,407,55712,22.157699584960938,20.94890022277832,20.224000930786133,,,,,,
5321116030390786048,0.6540549,132.6819,236.422050840803,28.415585187076,22.62906,21.77297,20.64903,19.60961,20.64903,boss,4726,411,55712,--,21.65519905090332,20.6875,,,,,,
5321114106245437440,0.2314835,206.6254,236.460587680035,28.2793877591032,21.61113,19.36565,17.99399,17.45837,17.99399,boss,4726,404,55712,20.083999633789062,18.817399978637695,18.39940071105957,,,,,,
5321117404780320768,0.348945,185.1185,236.66551724548,28.1957617667107,22.40108,20.52362,18.83719,18.28182,18.83719,boss,4726,416,55712,--,20.27549934387207,--,,,,,,
5321103111129159680,0.3299581,224.4467,236.709190570082,28.2069128225966,23.3262,20.52706,18.75311,18.18209,18.75311,boss,4726,364,55712,--,--,20.912799835205078,,,,,,
5321102836251252736,0.473615,341.2729,236.708826784505,28.3144353963184,22.454,21.92422,19.90965,19.00459,19.90965,boss,4726,363,55712,22.012800216674805,20.393800735473633,19.584199905395508,,,,,,
5321103660884973568,0.3485441,239.464,236.763274667187,28.1853316558483,24.38074,20.61225,18.81578,18.16295,18.81578,boss,4726,366,55712,--,--,20.364500045776367,,,,,,
5321104485518694400,0.6514301,104.8726,236.74395428014,28.1190303936279,23.72875,22.15227,20.81392,19.80692,20.81392,boss,4726,369,55712,22.006999969482422,21.715299606323242,20.877500534057617,,,,,,
5321103935762880512,0.4911932,288.4122,236.810223247477,28.0671100248427,22.36819,22.319,20.58072,19.74886,20.58072,boss,4726,367,55712,--,21.350299835205078,20.401899337768555,,,,,,
5321092390890788864,0.5458542,194.883,236.945725294178,28.0280506682175,23.78646,22.69208,20.93127,19.86798,20.93127,boss,4726,325,55712,--,21.28380012512207,20.38629913330078,,,,,,
5321094040158230528,0.6623841,230.7688,236.894210853887,28.138338313799,23.26577,22.4593,20.71754,19.75443,20.71754,boss,4726,331,55712,22.024099349975586,21.08370018005371,20.097000122070312,,,,,,
5321103386007066624,0.5162812,220.3646,236.869392365323,28.0172094591486,22.94138,21.85973,20.11152,19.10106,20.11152,boss,4726,365,55712,22.07270050048828,20.876300811767578,20.2012996673584,,,,,,
5321092940646602752,0.4925564,167.0385,236.964009628055,28.0670010715367,23.74173,22.05466,20.41188,19.55781,20.41188,boss,4726,327,55712,22.420799255371094,20.80820083618164,20.061800003051758,,,,,,
5321095689425672192,0.5437624,255.0702,236.986675893297,28.0120956850541,25.66603,22.0891,20.35798,19.31401,20.35798,boss,4726,337,55712,--,21.22100067138672,20.329700469970703,,,,,,
5321092116012881920,0.3077532,183.8881,237.005846168196,27.9936013924454,22.36079,20.09675,18.4952,17.908,18.4952,boss,4726,324,55712,20.791799545288086,19.279699325561523,18.7637996673584,,,,,,
5321080571140790272,0.4416541,168.5569,237.112489757549,28.0969505966613,23.72991,21.84417,19.6474,18.99894,19.6474,boss,4726,282,55712,22.36400032043457,20.848499298095703,20.19849967956543,,,,,,
5321081395774511104,0.3042348,288.3376,237.100075888003,28.0533896382849,22.54557,21.89687,20.28701,19.50752,20.28701,boss,4726,285,55712,22.03809928894043,20.838199615478516,20.24880027770996,,,,,,
5321069850902419456,0.441558,250.7681,237.338774556507,27.9905112110593,25.97,22.41509,20.50334,19.64687,20.50334,boss,4726,243,55712,--,20.9591007232666,20.345199584960938,,,,,,
5321070125780326400,0.1803246,178.7547,237.29107994286,27.9764982105364,21.91022,19.48608,18.11818,17.53665,18.11818,boss,4726,244,55712,20.91309928894043,--,--,,,,,,
5321084144553580544,0.5193437,234.6477,237.243096964118,27.9771260645025,23.43499,21.79276,19.926,18.8713,19.926,boss,4726,295,55712,--,21.0398006439209,20.182199478149414,,,,,,
5321083045041952768,0.6570001,284.2896,237.197832062463,28.0091704445913,23.81167,21.75243,20.2896,19.11247,20.2896,boss,4726,291,55712,22.422100067138672,21.44379997253418,20.47249984741211,,,,,,
5321070950414047232,0.5517858,268.841,237.353092645704,27.7995784139928,24.51724,23.1493,20.06603,18.98793,20.06603,boss,4726,247,55712,--,21.717300415039062,20.915800094604492,,,,,,
5321061604565211136,0.5251547,210.3876,237.529874410009,27.789995231458,23.29461,22.07048,20.23398,19.21202,20.23398,boss,4726,213,55712,--,21.083499908447266,20.191600799560547,,,,,,
5321059955297769472,0.6254873,276.3484,237.547843981897,27.7506367363894,22.66033,22.07508,20.67967,19.65833,20.67967,boss,4726,207,55712,--,21.48590087890625,20.94809913635254,,,,,,
5322228460961421312,0.2607015,270.7987,242.998907558079,24.5632981331641,22.2091,19.88943,18.29591,17.70192,18.29591,boss,4727,362,55693,20.936399459838867,19.6653995513916,19.04319953918457,,,,,,
5322241105345140736,0.5330322,331.9146,242.902596604043,24.5834611359155,23.89443,22.90055,20.68913,19.60324,20.68913,boss,4727,408,55693,--,21.502399444580078,20.586299896240234,,,,,,
5322229285595142144,0.5329911,292.6872,242.957017677395,24.6250560276329,23.28601,21.7821,20.06994,19.05141,20.06994,boss,4727,365,55693,22.116600036621094,20.910900115966797,20.212400436401367,,,,,,
5322230110228862976,0.5707395,252.5764,243.024043354777,24.5853239789547,22.13013,20.99731,19.91812,18.96029,19.91812,boss,4727,368,55693,--,21.874900817871094,--,,,,,,
5322207570240493568,0.312915,256.8938,243.32152331855,24.3758480238622,23.29955,20.47693,18.73936,18.14763,18.73936,boss,4727,286,55693,20.952999114990234,19.5575008392334,18.94890022277832,,,,,,
5322195750490494976,0.5514968,242.6169,243.671708920645,24.1685722302919,22.26498,22.36506,20.53264,19.40275,20.53264,boss,4727,243,55693,--,21.101900100708008,20.486400604248047,,,,,,
5322185030252124160,0.5270351,244.6924,243.740467032208,24.1349909329883,24.412,22.24759,20.7642,19.69009,20.7642,boss,4727,204,55693,--,21.380800247192383,20.504100799560547,,,,,,
5321142693547759616,0.3541025,254.8001,235.579678177303,29.3550715839164,26.02037,21.28176,19.39702,18.73846,19.39702,boss,4726,508,55712,21.68709945678711,20.242799758911133,19.35449981689453,,,,,,
5321144067937294336,0.5399947,178.5298,235.71940317834,29.3452619199393,23.63284,22.18371,20.60554,19.56811,20.60554,boss,4726,513,55712,--,21.105899810791016,20.09239959716797,,,,,,
5321145167448922112,0.4859977,254.2323,235.824764170443,29.2565875744135,24.13189,21.93032,20.05274,19.19711,20.05274,boss,4726,517,55712,22.325300216674805,20.774999618530273,20.008499145507812,,,,,,
5321143243303573504,0.5610685,327.9845,235.690378717419,29.2511038338765,23.57053,22.66716,20.82759,19.88452,20.82759,boss,4726,510,55712,--,21.57430076599121,20.665199279785156,,,,,,
5321142968425666560,0.5391373,173.7585,235.796389048943,29.3316876418117,24.68268,21.95623,20.48958,19.67621,20.48958,boss,4726,509,55712,--,21.72010040283203,--,,,,,,
5321143518181480448,0.5112765,81.20026,235.806776440364,29.0896179745964,26.42899,22.2787,20.58754,19.62017,20.58754,boss,4726,511,55712,21.577800750732422,21.318899154663086,20.386999130249023,,,,,,
5321151214762874880,0.629671,223.7156,235.882017264427,29.0907755813517,26.2938,22.5982,20.83862,19.72335,20.83862,boss,4726,539,55712,--,21.677900314331055,20.495100021362305,,,,,,
