specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm,color_name,color_value
6697996515145963520,0.5063769,250.5046,329.056471451557,21.74485919017,24.86373,22.65767,20.65661,19.61823,20.65661,boss,5949,65,56096,,,,,,,,,,,
6696978367563192320,0.56788,147.5697,329.093300305901,21.6546264058605,22.11109,22.2413,20.56941,19.56726,20.56941,boss,5948,457,56107,,21.552400588989254,20.58720016479492,,,,,,,r-i,0.9652004241943359
6697985794907592704,0.5086266,477.7741,329.20668794103,21.7741997555491,25.0595,22.57701,19.44348,18.5365,19.44348,boss,5949,26,56096,,,,,,,,,,,
6697988268808755200,0.4191577,252.1019,329.218056430721,21.6094927020237,23.25954,21.30374,19.48939,18.72597,19.48939,boss,5949,35,56096,21.691600799560547,20.03300094604492,19.307100296020508,,,,,,,g-r,1.6585998535156286
6697988818564569088,0.477762,111.7546,329.153851786647,21.6284099085823,24.49369,22.62992,20.63711,19.68826,20.63711,boss,5949,37,56096,,21.364999771118164,20.32819938659668,,,,,,,r-i,1.0368003845214844
6697979472715732992,0.3182966,277.9016,329.527264864952,21.7444190432811,24.25285,20.53407,18.78341,18.12702,18.78341,boss,5949,3,56096,21.82570075988769,20.304500579833984,19.56579971313477,,,,,,,g-r,1.5212001800537074
6697980572227360768,0.4565544,275.3703,329.480669354192,21.671711637077,26.21666,22.27832,20.66061,19.68269,20.66061,boss,5949,7,56096,,,20.970199584960938,,,,,,,,
6696967922202728448,0.456825,210.032,329.480669354192,21.671711637077,26.21666,22.27832,20.66061,19.68269,20.66061,boss,5948,419,56107,,,,,,,,,,,
6697021798272489472,0.3752046,213.6349,329.481043398127,21.7617179404506,22.63857,21.47535,20.00085,19.13469,20.00085,boss,5948,615,56107,21.98859977722168,21.44070053100586,20.51499938964844,,,,,,,g-r,0.5478992462158203
6697983321006430208,0.3752415,140.0751,329.481043398127,21.7617179404506,22.63857,21.47535,20.00085,19.13469,20.00085,boss,5949,17,56096,,21.240100860595703,,,,,,,,,
6697984145640151040,0.3747109,341.1833,329.526874982985,21.8484954920192,22.16444,20.6194,18.96415,18.3115,18.96415,boss,5949,20,56096,21.31209945678711,19.822900772094727,19.09980010986328,,,,,,,g-r,1.4891986846923828
6697020423882954752,0.3746196,238.7867,329.526874982985,21.8484954920192,22.16444,20.6194,18.96415,18.3115,18.96415,boss,5948,610,56107,,,,,,,,,,,
6696966822691100672,0.5802411,311.8252,329.583684573151,21.7396841573666,24.6554,22.80304,20.46789,19.40595,20.46789,boss,5948,415,56107,,21.565099716186523,20.393400192260746,,,,,,,r-i,1.1716995239257777
6697033343144581120,0.4287201,236.8648,329.702334574481,21.8475316632323,23.45141,22.03862,20.19704,19.34676,20.19704,boss,5948,657,56107,,19.72360038757324,,,,,,,,,
6696955002941102080,0.4582824,246.8709,329.786634233078,21.7550082135568,21.53278,21.25484,19.21154,18.39968,19.21154,boss,5948,372,56107,,,,,,,,,,,
6697044613138765824,0.3553429,143.3795,329.849757407114,21.8888731715236,22.64839,20.95109,19.17235,18.52963,19.17235,boss,5948,698,56107,21.7539005279541,20.08720016479492,19.37470054626465,,,,,,,g-r,1.6667003631591832
6697042963871324160,0.2061948,174.4473,329.905143686641,21.9205346286033,21.71232,19.70931,18.2515,17.60012,18.2515,boss,5948,692,56107,21.57460021972656,19.53660011291504,18.950300216674805,,,,,,,g-r,2.03800010681152
6697044888016672768,0.3649809,265.9935,329.874864932133,21.8760680046202,23.95774,20.55136,19.10983,18.31748,19.10983,boss,5948,699,56107,,,,,,,,,,,
6697053684109694976,0.4573525,296.8804,329.985079717652,21.9620605043012,26.47262,21.79985,19.78249,18.92126,19.78249,boss,5948,731,56107,22.24169921875,20.75079917907715,19.8257999420166,,,,,,,g-r,1.4909000396728516
6697042688993417216,0.5911172,267.7515,329.947255692612,21.9589759824212,22.13274,22.64787,20.92971,19.79019,20.92971,boss,5948,691,56107,,21.8085994720459,20.63279914855957,,,,,,,r-i,1.1758003234863281
6697065228981786624,0.4181973,139.0641,330.100767776219,21.9162135959639,25.47821,21.56053,20.13779,19.29037,20.13779,boss,5948,773,56107,22.120100021362305,20.94860076904297,20.1830997467041,,,,,,,g-r,1.171499252319336
6697066603371321344,0.2674904,220.0982,330.106575384549,21.9841640812774,22.62669,20.63307,18.88384,18.29433,18.88384,boss,5948,778,56107,21.01000022888184,19.61840057373047,19.01000022888184,,,,,,,g-r,1.3915996551513707
6697066328493414400,0.2609494,171.9559,330.133842971685,21.9828724512982,23.16571,21.5877,19.6842,18.83527,19.6842,boss,5948,777,56107,,19.976299285888672,19.523500442504883,,,,,,,r-i,0.45279884338378906
6697076498975971328,0.5416514,308.631,330.194026288118,21.9080801962903,26.26091,21.84961,20.08849,18.97135,20.08849,boss,5948,814,56107,,21.041000366210938,19.922800064086918,,,,,,,r-i,1.1182003021240199
6697077323609692160,0.6298652,184.6872,330.163484377314,22.0062040582616,21.30082,22.12143,20.15526,19.06182,20.15526,boss,5948,817,56107,,21.66279983520508,20.364200592041016,,,,,,,r-i,1.298599243164066
6697088868481783808,0.4599597,269.704,330.417991664073,21.9455176296913,24.74154,22.38536,20.61262,19.68623,20.61262,boss,5948,859,56107,22.2987003326416,20.802099227905277,20.084400177001957,,,,,,,g-r,1.4966011047363246
6697085844824807424,0.1853483,209.4057,330.543738142271,21.9509815073138,21.12201,18.82072,17.47735,16.90351,17.47735,boss,5948,848,56107,19.779699325561523,18.71470069885254,17.966999053955078,,,,,,,g-r,1.0649986267089844
6697099313842247680,0.51073,274.992,330.779977005004,22.0258132985577,22.39384,22.81109,20.71809,19.75968,20.71809,boss,5948,897,56107,,21.23240089416504,20.082399368286133,,,,,,,r-i,1.1500015258789062
6697096565063178240,0.4200409,314.355,330.780896526171,22.0732530249016,25.94162,22.47899,20.91123,20.01623,20.91123,boss,5948,887,56107,22.156200408935547,21.316699981689453,20.472000122070312,,,,,,,g-r,0.8395004272460938
6697096015307364352,0.5400706,175.8374,330.853677186174,22.1815367819609,22.45647,22.09055,20.38753,19.33904,20.38753,boss,5948,885,56107,,21.46199989318848,20.41189956665039,,,,,,,r-i,1.0501003265380895
6697110034080618496,0.4343979,179.728,330.906857559494,22.0715294231496,22.86078,20.97157,19.24136,18.44595,19.24136,boss,5948,936,56107,22.082000732421875,21.01000022888184,20.163000106811523,,,,,,,g-r,1.0720005035400355
