specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm
4232382357360105472,0.4955403,274.3125,123.634317692374,34.9644861900492,25.45827,22.53952,20.82146,19.89483,20.82146,boss,3759,453,55236,--,21.22089958190918,20.477500915527344,,,,,,
4232384006627547136,0.4999148,311.6032,123.600828534532,35.0922032065738,23.62492,22.52986,20.68626,19.80485,20.68626,boss,3759,459,55236,--,21.304000854492188,20.52199935913086,,,,,,
4232382907115919360,0.495512,227.7972,123.668304968149,35.0551183333388,26.3182,22.60863,20.79861,19.92092,20.79861,boss,3759,455,55236,--,--,--,,,,,,
4232373286389176320,0.3437323,212.479,123.937261026361,35.140949548937,23.31397,21.11632,19.44782,18.80556,19.44782,boss,3759,420,55236,21.291099548339844,--,20.418100357055664,,,,,,
4232371362243827712,0.541154,259.0582,123.862948698879,35.0864874740579,23.71294,22.49121,20.70952,19.72779,20.70952,boss,3759,413,55236,--,21.216800689697266,20.306100845336914,,,,,,
4232362016394991616,0.4789698,222.3282,123.980684124141,35.1124118208476,23.57623,22.46768,20.85474,19.98779,20.85474,boss,3759,379,55236,--,--,21.55970001220703,,,,,,
4232362291272898560,0.337126,207.0468,124.015329970121,35.0339652744248,24.42753,20.9034,19.05951,18.48776,19.05951,boss,3759,380,55236,--,21.7677001953125,--,,,,,,
4232438707331028992,0.4919408,177.2387,123.992600109293,35.2032768602884,23.53278,22.1916,20.64879,19.8812,20.64879,boss,3759,658,55236,22.039100646972656,20.869699478149414,20.02280044555664,,,,,,
4232340026162436096,0.5118362,209.4363,124.409617166013,35.153999967608,24.02551,22.79478,20.9519,20.01603,20.9519,boss,3759,299,55236,--,21.25589942932129,20.507200241088867,,,,,,
4232339476406622208,0.5488911,215.4887,124.450296338759,35.1288512570824,25.02301,22.18513,20.56963,19.57102,20.56963,boss,3759,297,55236,--,--,--,,,,,,
4232338926650808320,0.472775,193.1439,124.48130216972,35.1523571163347,24.89701,21.99883,20.3994,19.51784,20.3994,boss,3759,295,55236,--,21.056299209594727,20.183900833129883,,,,,,
4232460697563584512,0.5523595,274.11,124.525220613573,35.2873412005193,23.28232,21.76688,19.98576,18.93456,19.98576,boss,3759,738,55236,--,--,21.396699905395508,,,,,,
4232471417801955328,0.4715745,295.9795,124.571601455432,35.2888736547438,23.185,22.05754,20.27078,19.35038,20.27078,boss,3759,777,55236,--,--,--,,,,,,
4232334528604297216,0.5489885,188.8449,124.600588702966,35.191289165345,25.20197,21.98863,20.56778,19.80087,20.56778,boss,3759,279,55236,--,--,21.898000717163086,,,,,,
4232470868046141440,0.4741376,221.2912,124.587290993339,35.3122961414777,23.68649,22.48317,20.82354,19.94687,20.82354,boss,3759,775,55236,22.596799850463867,20.98710060119629,20.209699630737305,,,,,,
4232318035929880576,0.4147569,174.3686,124.857308776016,35.1701525456102,22.39898,21.71232,19.96623,19.14674,19.96623,boss,3759,219,55236,22.131799697875977,20.851600646972656,19.981599807739258,,,,,,
4232504952906602496,0.5822719,339.3159,125.228062026304,35.3883258926134,25.21649,22.77126,20.86616,19.63375,20.86616,boss,3759,899,55236,--,21.29210090637207,20.262399673461914,,,,,,
4232514573633345536,0.6257207,240.0927,125.483593210121,35.361569492938,25.62324,22.4894,20.60089,19.59418,20.60089,boss,3759,934,55236,--,21.389799118041992,20.27389907836914,,,,,,
4321417241470195712,0.4509192,256.4485,169.414331787109,0.200642191218192,23.01343,21.27563,19.59253,18.80116,19.59253,boss,3838,776,55588,21.90489959716797,20.487300872802734,19.5802001953125,,,,,,
4321417516348102656,0.4470058,257.8319,169.558874057056,0.0117620711399175,26.25461,21.72564,19.90251,19.05135,19.90251,boss,3838,777,55588,22.011699676513672,20.96969985961914,19.987300872802734,,,,,,
4321429061220194304,0.4469649,177.1341,169.589823698471,0.072701292796805,25.44542,22.56509,20.73527,20.00017,20.73527,boss,3838,819,55588,21.943599700927734,20.856300354003906,20.039899826049805,,,,,,
4321424663173683200,0.6205758,201.5612,169.62334784614,0.127260115139506,24.21522,21.86775,20.38,19.49054,20.38,boss,3838,803,55588,22.0674991607666,20.786300659179688,19.882400512695312,,,,,,
4321428511464380416,0.5104138,267.5916,169.6359995626,0.155709328255296,27.55632,21.84393,20.25491,19.31045,20.25491,boss,3838,817,55588,21.852800369262695,20.989999771118164,19.968299865722656,,,,,,
4321428786342287360,0.6165388,498.4785,169.601011555454,0.107495469525949,23.86747,22.32253,20.10519,18.98618,20.10519,boss,3838,818,55588,--,21.13909912109375,20.085500717163086,,,,,,
4321439506580658176,0.5102252,97.17838,169.688765083078,0.155456974021075,23.56177,21.5925,20.37568,19.67513,20.37568,boss,3838,857,55588,21.96780014038086,20.9552001953125,20.32859992980957,,,,,,
4321440056336472064,0.5454798,345.6756,169.72907762177,0.151183338640395,21.49758,20.99211,19.31199,18.25829,19.31199,boss,3838,859,55588,--,21.505399703979492,20.445199966430664,,,,,,
4321440331214379008,0.3767031,260.3933,169.795162339073,0.0997464135346854,26.29615,21.21443,19.5398,18.78839,19.5398,boss,3838,860,55588,21.8887996673584,20.4773006439209,19.71109962463379,,,,,,
4321462321446934528,0.316469,230.6061,170.189686116158,0.0267516121034434,22.69546,20.64965,18.85895,18.27618,18.85895,boss,3838,940,55588,--,--,--,,,,,,
4322477445339174912,0.5889817,233.6558,170.13940054652,0.197729294084558,22.64751,21.54236,20.40357,19.64328,20.40357,boss,3839,537,55575,21.600200653076172,21.007200241088867,20.226200103759766,,,,,,
4322477995094988800,0.4440295,222.192,170.142484832883,0.177537665750189,22.60923,21.75237,19.92384,19.16889,19.92384,boss,3839,539,55575,21.74370002746582,--,--,,,,,,
